Actual,Predicted,Probability_Destroyed
1,1,0.7857777777777777
1,1,0.6875
0,0,0.47
0,1,0.53
0,1,0.51
0,1,0.55
0,0,0.48
0,0,0.4390851370851372
1,1,0.52
0,0,0.401047619047619
1,1,0.5635283882783881
1,1,0.7161664446664444
1,1,0.9
1,1,0.69
1,1,0.92
0,1,0.56
0,1,0.56
0,1,0.769
1,1,0.6856474358974358
0,1,0.7161664446664444
1,1,0.7161664446664444
0,1,0.7161664446664444
0,1,0.8224603174603174
0,1,0.7161664446664444
0,1,0.7161664446664444
1,0,0.492441391941392
1,1,0.8220000000000001
1,0,0.4597142857142858
0,1,0.657
0,0,0.4597142857142858
0,1,0.6767500000000001
0,0,0.43
0,0,0.28401545384440113
1,0,0.335
0,0,0.18781818181818175
0,0,0.18781818181818175
1,0,0.47
0,0,0.47
1,0,0.21965151515151513
1,1,0.88
1,0,0.2568186813186813
0,0,0.32049999999999995
1,0,0.2568186813186813
1,1,0.6881077694235589
1,0,0.38
1,0,0.3335449064553249
1,0,0.38
1,0,0.38
1,0,0.38
1,0,0.3335449064553249
1,0,0.3335449064553249
1,0,0.38
1,0,0.38
1,0,0.23189039137975725
1,1,0.725
1,1,0.725
0,0,0.38
0,1,0.55
0,1,0.55
0,0,0.23189039137975725
0,1,0.6
0,1,0.6
0,1,0.6
1,0,0.23189039137975725
1,1,0.725
1,1,0.725
1,0,0.23189039137975725
0,0,0.23189039137975725
1,0,0.38
0,0,0.38
0,0,0.38
0,0,0.38
0,0,0.4066666666666666
1,1,0.745
1,0,0.38
1,1,0.725
1,1,0.725
0,0,0.23189039137975725
0,0,0.38
1,0,0.32477047036509943
0,1,0.6
1,0,0.23189039137975725
1,0,0.43333333333333335
1,1,0.7285
1,1,0.809
1,1,0.9359999999999999
1,1,0.9359999999999999
1,1,0.725
1,1,0.725
1,1,0.725
1,1,0.725
1,1,0.725
1,1,0.725
1,1,0.725
1,1,0.725
1,1,0.725
1,1,0.725
1,1,0.725
1,1,0.725
1,1,0.725
1,1,0.725
1,1,0.725
1,1,0.725
1,1,0.85
1,1,0.725
1,1,0.725
1,1,0.725
1,1,0.725
1,1,0.725
1,1,0.725
1,1,0.725
1,0,0.47
0,0,0.4703333333333334
1,1,0.7885714285714286
1,1,0.725
1,1,0.725
0,0,0.23189039137975725
0,1,0.6483333333333333
1,0,0.326
1,1,0.7161664446664444
0,0,0.23189039137975725
1,0,0.4
1,0,0.23189039137975725
1,0,0.23189039137975725
1,0,0.23189039137975725
1,1,0.89
1,1,0.89
1,1,0.89
1,1,0.89
1,0,0.38
1,1,0.725
1,1,0.7161664446664444
1,0,0.4390851370851372
0,1,0.5635283882783881
1,1,0.7385714285714287
0,0,0.401047619047619
1,0,0.23189039137975725
1,1,0.745
1,1,0.6583333333333333
0,0,0.4052518037518038
0,0,0.49666666666666665
0,1,0.6178888888888888
0,0,0.4052518037518038
0,0,0.4052518037518038
0,0,0.4052518037518038
0,0,0.4052518037518038
0,0,0.4052518037518038
0,1,0.6245283882783882
0,1,0.6245283882783882
1,1,0.5966666666666667
1,1,0.91
0,1,0.71
1,1,0.91
0,1,0.8226666666666667
0,1,0.690095016095016
0,1,0.690095016095016
0,0,0.2393195021352915
0,1,0.690095016095016
1,1,0.690095016095016
0,1,0.6664413364413364
0,1,0.6664413364413364
0,1,0.690095016095016
1,1,0.84
0,0,0.47184615384615375
1,0,0.45471428571428574
